,Site,Error Values
0,2NE1_zh.wikipedia.org_all-access_spider,43.06917304415573
1,2PM_zh.wikipedia.org_all-access_spider,91.07629124809328
2,3C_zh.wikipedia.org_all-access_spider,60.770426740648
3,4minute_zh.wikipedia.org_all-access_spider,37.00111194329482
4,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,68.39025261983537
5,5566_zh.wikipedia.org_all-access_spider,37.7782182151643
6,91Days_zh.wikipedia.org_all-access_spider,48.1933634472454
7,A'N'D_zh.wikipedia.org_all-access_spider,57.32883357370344
8,AKB48_zh.wikipedia.org_all-access_spider,46.573900934537704
9,ASCII_zh.wikipedia.org_all-access_spider,24.746380406269594
10,ASTRO_zh.wikipedia.org_all-access_spider,62.50908429022795
11,Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,48.47439135361052
12,All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,52.28738143573553
13,AlphaGo_zh.wikipedia.org_all-access_spider,36.03188347969208
14,Android_zh.wikipedia.org_all-access_spider,30.57178999582904
15,Angelababy_zh.wikipedia.org_all-access_spider,38.80353408239506
16,Apink_zh.wikipedia.org_all-access_spider,65.15539851363567
17,Apple_II_zh.wikipedia.org_all-access_spider,31.167707494478687
18,As_One_zh.wikipedia.org_all-access_spider,64.19480469723017
19,B-PROJECT_zh.wikipedia.org_all-access_spider,91.13663712015224
20,B1A4_zh.wikipedia.org_all-access_spider,59.23728854043199
21,BDSM_zh.wikipedia.org_all-access_spider,29.931552715619265
22,BEAST_zh.wikipedia.org_all-access_spider,48.30170870584077
23,BIGBANG_zh.wikipedia.org_all-access_spider,64.071570672126
24,BLACK_PINK_zh.wikipedia.org_all-access_spider,57.561955651814124
25,BLEACH_zh.wikipedia.org_all-access_spider,36.6440666926248
26,BTOB_zh.wikipedia.org_all-access_spider,66.6211728267551
27,Beautiful_Mind_zh.wikipedia.org_all-access_spider,39.64418901140151
28,Beyond_zh.wikipedia.org_all-access_spider,30.144017085338614
29,Big_zh.wikipedia.org_all-access_spider,37.79007793924134
30,Block_B_zh.wikipedia.org_all-access_spider,36.86837621535389
31,CHAOS;CHILD_zh.wikipedia.org_all-access_spider,45.419693701950436
32,CHAOS;HEAD_zh.wikipedia.org_all-access_spider,33.12186371072836
33,CLC_zh.wikipedia.org_all-access_spider,68.17204651892035
34,CNBLUE_zh.wikipedia.org_all-access_spider,61.396607387867355
35,DIA_zh.wikipedia.org_all-access_spider,84.24213426289046
36,Daigo_zh.wikipedia.org_all-access_spider,44.982197364484094
37,Dear_My_Friends_zh.wikipedia.org_all-access_spider,51.6450900181775
38,Doctors_zh.wikipedia.org_all-access_spider,50.65874485312602
39,EGOIST_zh.wikipedia.org_all-access_spider,51.600303020338956
40,EXID_zh.wikipedia.org_all-access_spider,72.1492756523224
41,EXO_zh.wikipedia.org_all-access_spider,40.767435928036484
42,Energy_zh.wikipedia.org_all-access_spider,36.33510154698098
