,Site,Error Values
0,2NE1_zh.wikipedia.org_all-access_spider,38.2789969448834
1,2PM_zh.wikipedia.org_all-access_spider,52.553489024245
2,3C_zh.wikipedia.org_all-access_spider,65.08691035165073
3,4minute_zh.wikipedia.org_all-access_spider,38.04308048680436
4,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,56.437195020759255
5,5566_zh.wikipedia.org_all-access_spider,35.65837420472829
6,91Days_zh.wikipedia.org_all-access_spider,49.35823267651136
7,A'N'D_zh.wikipedia.org_all-access_spider,58.61317158571035
8,AKB48_zh.wikipedia.org_all-access_spider,47.17176886446525
9,ASCII_zh.wikipedia.org_all-access_spider,23.342477649709156
10,ASTRO_zh.wikipedia.org_all-access_spider,61.70672456111224
11,Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,45.25292030050704
12,All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,46.34491575120471
13,AlphaGo_zh.wikipedia.org_all-access_spider,36.00457124433335
14,Android_zh.wikipedia.org_all-access_spider,34.208130691482
15,Angelababy_zh.wikipedia.org_all-access_spider,40.41269627516613
16,Apink_zh.wikipedia.org_all-access_spider,68.42184399091094
17,Apple_II_zh.wikipedia.org_all-access_spider,29.941958324054223
18,As_One_zh.wikipedia.org_all-access_spider,67.15544962940302
19,B-PROJECT_zh.wikipedia.org_all-access_spider,57.733602216377
20,B1A4_zh.wikipedia.org_all-access_spider,64.19844466936266
21,BDSM_zh.wikipedia.org_all-access_spider,32.60465765227873
22,BEAST_zh.wikipedia.org_all-access_spider,54.242398774467425
23,BIGBANG_zh.wikipedia.org_all-access_spider,54.247770398339256
24,BLACK_PINK_zh.wikipedia.org_all-access_spider,56.777261833859235
25,BLEACH_zh.wikipedia.org_all-access_spider,35.60276458298832
26,BTOB_zh.wikipedia.org_all-access_spider,57.85453333582582
27,Beautiful_Mind_zh.wikipedia.org_all-access_spider,40.10481032527764
28,Beyond_zh.wikipedia.org_all-access_spider,24.156713759063738
29,Big_zh.wikipedia.org_all-access_spider,37.49190468761869
30,Block_B_zh.wikipedia.org_all-access_spider,38.26893550145658
31,CHAOS;CHILD_zh.wikipedia.org_all-access_spider,39.379513940917086
32,CHAOS;HEAD_zh.wikipedia.org_all-access_spider,30.975306902669697
33,CLC_zh.wikipedia.org_all-access_spider,82.92832804435538
34,CNBLUE_zh.wikipedia.org_all-access_spider,52.78194388156409
35,DIA_zh.wikipedia.org_all-access_spider,67.14025777684374
36,Daigo_zh.wikipedia.org_all-access_spider,47.25081105633666
37,Dear_My_Friends_zh.wikipedia.org_all-access_spider,44.726201688635555
38,Doctors_zh.wikipedia.org_all-access_spider,53.84078835182233
39,EGOIST_zh.wikipedia.org_all-access_spider,53.99293279634569
40,EXID_zh.wikipedia.org_all-access_spider,75.38330315745408
41,EXO_zh.wikipedia.org_all-access_spider,42.55400634025403
42,Energy_zh.wikipedia.org_all-access_spider,42.6132995373271
43,Eric_Nam_zh.wikipedia.org_all-access_spider,49.09100864068818
44,FAIRY_TAIL_zh.wikipedia.org_all-access_spider,41.8301264413879
45,FIESTAR_zh.wikipedia.org_all-access_spider,60.20881404562443
46,FIRST_CLASS_zh.wikipedia.org_all-access_spider,44.166695568885935
47,Facebook_zh.wikipedia.org_all-access_spider,21.044180274490394
48,Fantastic_Duo_zh.wikipedia.org_all-access_spider,34.06238183592343
49,Fate/Grand_Order_zh.wikipedia.org_all-access_spider,54.89158899706293
50,Fate/Zero_zh.wikipedia.org_all-access_spider,30.141569488960346
51,Fate/stay_night_zh.wikipedia.org_all-access_spider,28.32754565461613
52,File:427FW_126.JPG_zh.wikipedia.org_all-access_spider,163.97618225531724
53,File:Ap_F23_20110324114153669.jpg_zh.wikipedia.org_all-access_spider,167.37209828315184
54,File:Christian-krohg-leiv-eriksson.jpg_zh.wikipedia.org_all-access_spider,179.6811315518907
